Common Name,Name,CountryCode,NumberActors,MilFatalities,TotalFatalities,StartYear,StartMonth,StartDay,EndYear,EndMonth,EndDay,Region,Century,Decade,DurationD,DurationM,DurationY
Lithuanian Revolt,"Teutonic Order-(Poland-Lithuania), 1434-35",,2,,8000,1434,,,1435,,,4,1,143,,,1
,"China-Tartars (Gansu), 1435-36",,2,,140,1435,12,,1436,8,,12,1,143,,8,1
,"Japan (Shogun, governor-Mochiuji) (Gunma ken), 1438-39",740,3,,32,1438,8,14,1439,2,10,12,1,143,176,6,1
,"China-Japanese pirates, 1439",,2,,100,1439,4,,1439,4,,12,1,143,,0,0
,"China (Yunnan), 1440-1445",710,2,,3000,1440,1,,1445,1,,12,1,144,,60,5
?,"Hungary, (Poland-Lithuania), pope-Turkey, 1442-48",,4,,45000,1442,,,1448,10,19,4,1,144,,,6
,"China-Japanese pirates (Zhejiang), 1442",,2,,100,1442,5,,1442,5,,12,1,144,,0,0
,"Turkey-Greece-Hungary (Bulgaria), 1444",,3,,1000,1444,11,,1444,11,,4,1,144,,0,0
,"Muscovy-Lithuania, 1445",,2,,1600,1445,,,1445,,,4,1,144,,,0
,"Muscovy (Novgorod)-Ugrians, 1446",,2,,80,1446,,,1446,,,4,1,144,,,0
End Phase of Hundred Years War,"England-France, 1449-53",,2,,12500,1449,3,24,1453,7,17,3,1,144,1553,52,4
Battle of Tumubao,"China (Ming)-Mongolia (Liaoning to Gansu), 1449-50",,2,,65000,1449,1,,1450,3,,12,1,144,,14,1
Revolt of Guizhou,"China (Miao in Hunan and Guizhou), 1449-53",710,2,,1000,1449,3,,1453,2,,12,1,144,,47,4
,"Prussian League, (Poland-Lithuania)-Teutonic Order, 1454-66",,3,,10400,1454,2,,1466,10,19,4,1,145,,152,12
,"Turkey-Hungary, 1454-56",,2,,3000,1454,,,1456,8,,4,1,145,,,2
,"China (Miao in Sichuan), 1454",710,2,,7000,1454,4,,1454,4,,12,1,145,,0,0
Wars of the Roses,"England (dynastic, nobles), 1455-85",,2,,19500,1455,5,22,1485,8,22,3,1,145,10890,363,30
,"China-Tartars (Shanxi), 1457",,2,,120,1457,6,,1457,6,,12,1,145,,0,0
part of Wars of the Roses,"England, 1459-61",,2,,30000,1459,9,3,1461,3,29,3,1,145,566,18,2
,"China (Shenxi), 1459",710,2,,500,1459,1,,1459,1,,12,1,145,,0,0
,"China (Yao in Guangxi and Guangdong), 1459",710,2,,300,1459,2,,1459,4,,12,1,145,,2,0
,"China (Sichuan), 1461",710,2,,2000,1461,,,1461,,,12,1,146,,,0
,"Hungary-Turkey, 1462-64",,2,,3000,1462,,,1464,,,4,1,146,,,2
War of Podiebrad,"Emperor-Bohemia, 1462",,2,,2000,1462,,,1462,,,3,1,146,,,0
,"China (Yao in Guangxi, Hunan), 1462",710,2,,2800,1462,2,,1462,5,,12,1,146,,3,0
War of the Civil League,"France (nobles, with intervention by Burgundy, Brittany), 1465-66",,3,,480,1465,,,1466,,,3,1,146,,,1
,"China (Yao in Guangxi, Hua[n]?an), 1465",710,2,,6200,1465,1,,1465,11,,12,1,146,,10,0
,"China (peasants in Hubei), 1465-66",710,2,,10000,1465,3,,1466,10,,12,1,146,,19,1
,"China (Miao in Hunan, Guizhou), 1466-67",710,2,,3000,1466,3,,1467,2,,12,1,146,,11,1
,"Muscovy-Kazan Tartars, 1467-69",,2,,4500,1467,,,1469,,,4,1,146,,,2
,"China (Sichuan), 1467-68",710,2,,5000,1467,6,,1468,4,,12,1,146,,10,1
,"France-Burgundy, 1468",,2,,200,1468,,,1468,,,3,1,146,,,0
,"Hungary-Bohemia, emperor, (Poland-Lithuania), 1468-69",,4,,4000,1468,,,1469,,,4,1,146,,,1
,"Emperor-Turkey, 1469-75",,2,,6000,1469,,,1475,,,4,1,146,,,6
,"Hungary-Bohemia, 1470-78",,2,,18000,1470,,,1478,12,7,4,1,147,,,8
,"China-Tartars (Gansu, Shenxi), 1470",,2,,100,1470,5,,1470,5,,12,1,147,,0,0
,"China (Hubei), 1470",710,2,,1400,1470,11,,1470,11,,12,1,147,,0,0
Franco-Burgundian War,"France-Burgundy, 1471-72",,2,,4500,1471,,,1472,,,3,1,147,,,1
Hunyadi War,"Hungary-Poland, 1471-78",,2,,6400,1471,,,1478,,,4,1,147,,,7
,"Muscovy-Novgorod, 1471-75",,2,,1800,1471,,,1475,,,4,1,147,,,4
,"China (Gansu), 1472",710,2,,350,1472,6,,1472,9,,12,1,147,,3,0
,"China (Gansu), 1473",710,2,,350,1473,9,,1473,9,,12,1,147,,0,0
,"Burgundy, Savoy-Swiss confederation, Tyrol, Lorraine, France, 1475-77",,6,,12000,1474,11,13,1477,1,5,3,1,147,772,26,3
,"England-France, 1475",,2,,1400,1475,,,1475,8,29,3,1,147,,,0
,"China (Miao in Hunan), 1475",710,2,,8500,1475,,,1475,,,12,1,147,,,0
,"Spain-Portugal, 1476-79",,2,,2000,1476,,,1479,,,3,1,147,,,3
,"China (Miao in Guazhou), 1476",710,2,,10000,1476,11,,1476,11,,12,1,147,,0,0
,"Hungary-Austria, 1477-78",,2,,4000,1477,,,1478,,,4,1,147,,,1
,"France-Burgundy, Austria, 1477-79",,3,,3000,1477,,,1479,8,7,3,1,147,,,2
Novgorod Expedition of Ivan III,"Muscovy, Pskov, Tver-Novgorod, 1477-78",,4,,800,1477,,,1478,1,,4,1,147,,,1
,"Muscovy-Kazan Tartars, 1478",,2,,800,1478,,,1478,,,4,1,147,,,0
,"China (rebellion in Fujian), 1478",710,2,,36,1478,3,,1478,3,,12,1,147,,0,0
,"England-Scotland, 1480",,2,,1500,1480,,,1480,,,3,1,148,,,0
,"Muscovy-Kazan Tartars, 1480",,2,,800,1480,,,1480,,,4,1,148,,,0
,"China-Tartars (Shanxi, Inner Mongolia), 1480",,2,,430,1480,1,,1480,12,,12,1,148,,11,0
,"Muscovy-Teutonic (Livonian) Order, 1480-83 *",,2,,15200,1480,,,1483,,,4,1,148,,,3
,"Turkey-Hungary, 1481-83",,2,,2000,1481,,,1483,,,4,1,148,,,2
Spanish Christian-Muslim War,"Spain-Granada (Moors), 1481-92",,2,,10000,1481,12,26,1492,1,2,3,1,148,3606,121,11
,"China-Tartars (Shanxi), 1481",,2,,120,1481,2,,1481,6,,12,1,148,,4,0
,"England-Scotland, 1482-84",,2,,4500,1482,,,1484,,,3,1,148,,,2
,"China-Tartars (Shanxi, Hebei, Gansu), 1483-86",,2,,1000,1483,7,,1486,7,,12,1,148,,36,3
,"Turkey, Tartars-Moldavia, (Poland-Lithuania), 1484-89",,4,,3200,1484,,,1489,,,4,1,148,,,5
Mad War,"France (Orleans, Brittany), 1485-91",,3,,800,1485,,,1491,,,3,1,148,,,6
Campaign of Henry Tudor (Wars of the Roses),"England (dynastic), 1485",,2,,1500,1485,8,,1485,8,22,3,1,148,,0,0
,"Brittany, England-France, 1488-92",,3,,5600,1488,,,1492,,,3,1,148,,,4
,"Muscovy-(Poland-Lithuania), 1489-90 *",,2,,15200,1489,,,1490,,,4,1,148,,,1
Ottoman War,"Turkey-Bohemia, Hungary, emperor, 1490-95",,4,,6000,1490,,,1495,,,4,1,149,,,5
,"Spain-Arawaks (Haiti), 1493",,2,36,36,1493,,,1493,,,1,1,149,,,0
Charles VIII Invasion of Italy,"France-Naples, 1494-95",,2,,3000,1494,9,1,1495,2,22,3,1,149,171,5,1
War of the League of Venice,"Pope, Spain, emperor, Venice, Milan-France, 1495-98",,6,,8500,1495,6,28,1498,8,5,3,1,149,1117,38,3
,"Muscovy-Sweden, 1495-97",,2,,1600,1495,6,,1497,,,4,1,149,,,2
,"Hungary-France, 1495-97",,2,,3000,1495,,,1497,,,3,1,149,,,2
,"China (Miao in Guangxi), 1495",710,2,,6000,1495,7,,1495,7,,12,1,149,,0,0
,"China (Gansu, Liaoning), 1495",710,2,,800,1495,11,,1495,11,,12,1,149,,0,0
,"Muscovy-Kazan Tartars, 1496-97",,2,,800,1496,,,1497,,,4,1,149,,,1
,"(Poland-Lithuania)-Moldavia, 1497-98",,2,,2400,1497,,,1498,,,4,1,149,,,1
Polish War with Turks in Moldavia,"(Poland-Lithuania)-Turkey, Tartars (Wallachia), 1497-99",,3,,1600,1497,,,1499,,,4,1,149,,,2
First War of Louis XII for Milan,"France, Venice-Milan, emperor, 1499-1500",,4,,2000,1499,,,1500,11,11,3,1,149,,,1
Venetian War of 1499-1503,"Turkey-Montenegro, Hungary, pope, 1499-1503",,4,4000,4000,1499,7,,1503,3,,4,1,149,,44,4
,"Muscovy, Tartars-(Poland-Lithuania), Livonian Order, 1500-03",,4,,93600,1500,,,1503,,,4,2,150,,,3
,"France, Spain-Milan, Naples, 1500-02",,4,,10000,1500,11,11,1502,3,,3,2,150,,16,2
,"China-Tartars (Shanxi), 1500",,2,,1000,1500,4,,1500,12,,12,2,150,,8,0
Insurrection of Morisco,"Spain (Morisco), 1501",,2,,500,1501,,,1501,,,3,2,150,,,0
,"Poland-Moldavia, 1501-06",,2,,7200,1501,,,1506,,,4,2,150,,,5
,"Spain-Indians (Venezuela), 1502",,2,1,79,1502,4,2,1502,4,2,1,2,150,0,0,0
Invasion of Naples by Louis XII,"Spain-France (Naples), 1502-04",,2,,10000,1502,7,2,1504,1,1,3,2,150,539,18,2
,"Poland-Crimean Tartars, 1506",,2,,600,1506,,,1506,,,4,2,150,,,0
,"Muscovy-Kazan Tartars, 1506-07",,2,,2400,1506,,,1507,,,4,2,150,,,1
,"China (Guangxi), 1506",710,2,,4700,1506,12,,1506,12,,12,2,150,,0,0
,"(Poland-Lithuania)-Muscovy, 1507-08",,2,,4800,1507,,,1508,,,4,2,150,,,1
War of the League of Cambrai,"Pope, Spain, France, emperor, Mantua-Venice, 1508-10",,6,10000,10000,1508,2,,1510,2,,3,2,150,,24,2
,"China (Guangxi), 1508",710,2,,7000,1508,7,,1508,7,,12,2,150,,0,0
,"Spain-Indians (Turbaco, Columbia), 1509",,2,,70,1509,11,,1509,11,,2,2,150,,0,0
Moorish Insurrection,"Spain (Moors), 1509-11",,2,,3000,1509,,,1511,,,3,2,150,,,2
,"Portugal-Moslem India, 1509",,2,,2000,1509,,,1509,,,10,2,150,,,0
,"China (Sichuan, Shanxi), 1509-11",710,2,,700,1509,,,1511,,,12,2,150,,,2
,"Hottentots-Portugal (South Africa), 1510",,2,,65,1510,3,1,1510,3,1,8,2,151,0,0,0
Conquest of Goa,"Portugal-Goa (India), 1510",,2,,3000,1510,2,15,1510,,,10,2,151,,,0
,"Uzbeks (Khorasan)-Persia (Safavids) (Marv), 1510-12",,2,,1000,1510,,,1512,,,9,2,151,,,2
,"Spain-Caribs (Puerto Rico), 1511",,2,80,80,1511,3,,1511,4,,1,2,151,,1,0
War of the Holy League,"Pope, Spain, Venice, Swiss Con, emperor, England-France, Scotland, Florence, 1511-14",,9,,17500,1511,5,,1514,7,10,3,2,151,,38,3
,"China (Gansu, Hebei), 1511",710,2,,64,1511,3,,1511,12,,12,2,151,,9,0
,"China (Jiangxi, Fujian, Guangdong), 1511-19",710,2,,4000,1511,9,,1519,,,12,2,151,,,8
Russo-Polish War,"Muscovy, Teutonic Order-(Poland-Lithuania), 1512-14",,3,,13200,1512,,,1514,9,8,4,2,151,,,2
,"Austria-Turkey, 1512-19",,2,,8000,1512,,,1519,,,4,2,151,,,7
,"China (Jiangxi), 1512",710,2,,11000,1512,,,1512,,,12,2,151,,,0
,"Spain-Cuarecuans (Panama), 1513",,2,100,100,1513,9,22,1513,12,12,1,2,151,80,3,0
Scottish War,"Scotland-England, 1513",,2,,10000,1513,8,11,1513,9,9,3,2,151,28,1,0
,"China (Guizhou), 1513",710,2,,60,1513,4,,1513,4,,12,2,151,,0,0
,"Spain-Indians (northwest Colombia), 1514",,2,150,150,1514,9,,1514,12,,2,2,151,,3,0
,"Hungary (peasants), 1514",,2,,1000,1514,,,1514,,,4,2,151,,,0
Turkish War with Persia and the Mamelukes,"Turkey-Persia, 1514-16",,4,,39000,1514,8,,1516,,,5,2,151,,,2
,"China-Tartars (Hebei, Shanxi, Ningxia), 1514-17",,2,,400,1514,7,,1517,10,,12,2,151,,39,3
Second Milanese War,"France, Venice-Milan, Swiss Confederation, emperor, pope, 1515-16",,6,,10150,1515,6,,1516,8,13,3,2,151,,14,1
Crimean War of Vasily III,"Muscovy-Crimean Tartars, 1515-23",,2,,10800,1515,,,1523,,,4,2,151,,,8
,"Austria (peasants), 1515",,2,,1000,1515,,,1515,,,3,2,151,,,0
,"China (Hunan, Jiangxi), 1515",710,2,,500,1515,7,,1515,7,,12,2,151,,0,0
,"China (Fujian), 1516-18",710,2,,7000,1516,8,,1518,5,,12,2,151,,21,2
,"China (Gansu), 1517",710,2,,79,1517,1,,1517,4,,12,2,151,,3,0
,"China (Hebei), 1517",710,2,,52,1517,8,,1517,8,,12,2,151,,0,0
,"(Poland-Lithuania)-Teutonic Order, 1519-20",,2,,2400,1519,,,1520,,,4,2,151,,,1
Conquest of Mexico,"Spain-Aztecs (Mexico), 1519-21",,3,2000,100000,1519,9,,1521,8,14,1,2,151,,23,2
Ottoman War (part 1),"Turkey-Hungary, 1521-26",,2,30000,35000,1521,5,,1526,8,29,4,2,152,,63,5
First War of Charles V,"France, Navarre-emperor, Spain, England, Italian states (from 1523),pope, 1521-25",,7,,31000,1521,4,22,1525,2,25,3,2,152,1383,46,4
,"Crimean and Kazan Tartars, Cossacks-Muscovy, 1521",,4,,2400,1521,,,1521,,,4,2,152,,,0
Scottish War,"England-Scotland, France, 1522-23",,3,,3000,1522,5,,1523,,,3,2,152,,,1
Knight's War,"Trier, Hesse, Palatinate-(imperial knights), 1522-23",,4,,2000,1522,9,,1523,,,3,2,152,,,1
Siege of Rhodes,"Turkey-Knights of St. John (Rhodes), 1522",,2,55000,55000,1522,6,25,1522,12,20,4,2,152,175,6,0
,"China-Tartars (Lianoning), 1523",,2,,5000,1523,5,,1523,8,,12,2,152,,3,0
,"China-Portugal (Guangdong), 1523",,2,,35,1523,,,1523,,,12,2,152,,,0
Peasant's War,"German states (peasants in Saxony), 1524-25",,2,,145000,1524,6,,1525,5,,3,2,152,,11,1
,"China (Guangdong), 1524",710,2,,14000,1524,,,1524,,,12,2,152,,,0
,"Moguls (Afghanistan)-Lodis (Punjab), 1525-26",,2,,150000,1525,,,1526,4,27,10,2,152,,,1
War of the League of Cognac,"Pope, Venice, Florence-emperor, Spain 1526-28",,4,,18000,1526,7,8,1528,8,30,3,2,152,772,25,2
Second War of Charles V,"France, Venice, England, Genoa (till June 1528)-emperor, Spain, Genoa, 1526-30",,6,,17750,1526,7,8,1530,8,12,3,2,152,1474,49,4
,"Hungary (with Turkish and German intervention), 1526-28",,3,12000,17000,1526,4,,1528,,,4,2,152,,,2
,"Poland-Crimean Tartars, 1526-28",,2,,1800,1526,,,1528,,,4,2,152,,,2
,"Poland-Moldavia, 1527-31",,2,,2400,1527,,,1531,,,4,2,152,,,4
,"Moguls (Afghanistan)-Rajputs (Hindus) (India), 1527",,2,,45000,1527,3,16,1527,3,16,10,2,152,0,0,0
,"China (Guangxi), 1527",710,2,,350,1527,1,,1527,3,,12,2,152,,2,0
,"China-Tartars (Hebei, Ningxia), 1527",,2,,200,1527,2,,1527,8,,12,2,152,,6,0
,"China (Ningxia), 1527",710,2,,300,1527,8,,1527,8,,12,2,152,,0,0
,"China (Guangxi), 1528",710,2,,3000,1528,,,1528,,,12,2,152,,,0
Austro-Turkish War,"Turkey-(Hungary-Bohemia), emperor, Florence, 1529-33",,4,38000,43000,1529,5,10,1533,6,22,4,2,152,1482,49,4
,"China-Tartars (Ningxia), 1529",,2,,70,1529,,,1529,,,12,2,152,,,0
,"Muscovy-Kazan Tartars, 1530-31",,2,,1200,1530,,,1531,,,4,2,153,,,1
Kappel war,"Switzerland (religious), 1531",,2,,1000,1531,9,,1531,11,23,3,2,153,,2,0
,"Spain-Turkey, 1532-35",,2,,20000,1532,,,1535,7,,5,2,153,,,3
Conquest of Peru,"Spain-Peru, 1532-33",,2,,1000,1532,11,16,1533,11,15,2,2,153,359,12,1
,"Scotland-England, 1532-34",,2,,4500,1532,,,1534,5,11,3,2,153,,,2
,"China (Guangdong), 1533",710,2,,3800,1533,9,,1533,9,,12,2,153,,0,0
,"China (Shanxi), 1533-34",710,2,,89,1533,11,,1534,2,,12,2,153,,3,1
Munster Revolt (war of Anabaptists)?,"Hesse, protestant German states-Wurttemberg, 1534",,3,,1000,1534,1,,1535,6,24,3,2,153,,17,1
,"(Poland-Lithuania) (Khmelnitzky)-Crimean Tartars, 1534",,2,,600,1534,,,1534,,,4,2,153,,,0
,"Russia-(Poland-Lithuania), 1534-36",,2,,9600,1534,,,1537,,,4,2,153,,,3
,"England (Ireland), 1534-36",,2,,500,1534,,,1536,,,3,2,153,,,2
Tunis Expedition,"Emperor (Spain)-Algiers (Tunis), Turkey, 1535",,2,,2500,1535,6,,1535,8,,5,2,153,,2,0
Third War of Charles V,"France-Savoy, emperor, 1536-37",,3,,75000,1536,2,,1537,6,30,3,2,153,,16,1
,"China (Shanxi, Shang-xi, Ningxia with Tartar intervention),",710,3,,1000,1536,8,,1536,12,,12,2,153,,4,0
,"Japan (religious, Kyoto), 1536",740,2,,3000,1536,7,22,1536,7,22,12,2,153,0,0,0
Austro-Turkish War,"Turkey-emperor, Papal states, 1537-38",,3,,30000,1537,5,17,1538,12,,4,2,153,,19,1
First Spanish Civil War in Peru,"Spanish Peru, 1537-38",,2,,150,1537,,,1538,,,2,2,153,,,1
Moldavian Revolt,"Turkey, Tatars-Moldavia, 1538",,3,,8000,1538,7,,1538,9,,4,2,153,,2,0
Ghent's Insurrection,"Spain (Ghent), 1539-40",,2,,3000,1539,8,,1540,2,14,3,2,153,,6,1
,"China (Ningxia), 1540",710,2,,440,1540,9,,1540,9,,12,2,154,,0,0
,"Turkey-emperor, Papal states, 1541-44",,2,,20000,1541,,,1544,,,4,2,154,,,3
Algerian Expedition,"Emperor (Spain)-Algiers (Turkey), 1541",,2,,7000,1541,9,,1541,10,27,5,2,154,,1,0
,"China (Ming)-Anda (Hebei, Shanxi), 1541-42",,2,,200000,1541,7,,1542,6,,12,2,154,,11,1
,"Japan (warlords in Hiroshima ken), 1541",740,3,,800,1541,1,13,1541,1,13,12,2,154,0,0,0
Fourth War of Charles V,"France, Cleves, Denmark, Sweden-emperor, 1542-44",,5,77000,77000,1542,7,12,1544,9,18,3,2,154,786,26,2
Scottish War,"England-Scotland, 1542",,2,,1300,1542,,,1542,11,25,3,2,154,,,0
,"China (Guangdong, Hainan), 1542",710,2,,5000,1542,5,,1542,5,,12,2,154,,0,0
,"China (Shenxi, Hebei), 1543",710,2,,32,1543,8,,1543,10,,12,2,154,,2,0
Anglo-French War,"England-France, 1544-46",,2,,8250,1544,7,14,1546,6,7,3,2,154,683,23,2
Battle of Pinkie,"England-Scotland (with French involvement), 1544-47",,2,5500,5500,1544,5,3,1547,9,10,3,2,154,1207,40,3
,"China (Liaoning), 1544-45",710,2,,200,1544,,,1545,8,,12,2,154,,,1
,"China (Shanxi, Hebei, Shenxi, Liaoning, Mongolia), 1545-6",710,2,,100,1545,9,,1546,9,,12,2,154,,12,1
Schmalkaldic War,"Emperor, German allies, pope-Protestant German states, Bohemia, 1546-47",,5,,8000,1546,10,30,1547,4,24,3,2,154,174,6,1
,"China (Sichuan), 1546-47",710,2,,693,1546,3,,1547,4,,12,2,154,,13,1
,"Scotland (with French support)-England, 1547-50",,3,,5250,1547,7,21,1550,3,24,3,2,154,963,32,3
,"Muscovy-Kazan Tatars, 1547",,2,,1200,1547,,,1547,,,4,2,154,,,0
,"Ching (Ming)-Japanese pirates, rebels (Zhejiang, Fujian, Guangxi), 1547-66",,3,,13100,1547,12,,1548,4,,12,2,154,,4,1
Pitauds' revolt,"France (Bordelais), 1548",,2,,100,1548,,,1548,,,3,2,154,,,0
Fourth Spanish Civil War in Peru,"Spain (separatist movement in Peru), 1548",,2,,46,1548,4,,1548,4,9,2,2,154,,0,0
,"France-England, 1548-50",,2,,6000,1548,8,15,1550,3,24,3,2,154,579,19,2
,"Japan (Yamanashi ken), 1548",740,2,,1000,1548,7,19,1548,7,19,12,2,154,0,0,0
Arundel's Rebellion ?,"England (Cornwall), 1549-50",,2,,750,1549,7,15,1550,8,26,3,2,154,401,13,1
,"China (Guizhou), 1549-50",710,2,,2000,1549,9,,1550,5,,12,2,154,,8,1
,"China (Shanxi, Liaoning), 1549",710,2,,3500,1549,8,,1549,9,,12,2,154,,1,0
,"Muscovy-Kazan Tartars, 1550-52",,2,,4000,1550,,,1552,,,4,2,155,,,2
,"China (Guizhou), 1550",710,2,,1800,1550,3,,1550,3,,12,2,155,,0,0
,"China (Guangdong, Hainan), 1550",710,2,,5400,1550,4,,1550,5,,12,2,155,,1,0
Ottoman War,"Turkey, Transylvania-emperor, Hungary, 1551-62",,4,,24000,1551,,,1562,,,4,2,155,,,11
Fifth War of Charles V (Last Valois-Hapsburg War),"Spain, Emperor-France, Saxony, 1551-55",,4,95000,95000,1551,6,,1555,9,25,3,2,155,,51,4
,"Poland (intervention in Wallachia), 1552",,2,,300,1552,,,1552,,,4,2,155,,,0
,"China-Japanese pirates (Zhejiang, Shanghai, Jiangsu), 1552-53",,3,,2852,1552,4,,1557,,,12,2,155,,,5
,"China (Liaoning, Hebei, Shenxi, Shanxi, Gansu, Ningxia, Mongolia), 1552-67",710,2,,7550,1552,2,,1567,10,,12,2,155,,188,15
,"China (Henan), 1553",710,2,,400,1553,7,,1553,10,,12,2,155,,3,0
Russo-Swedish War,"Muscovy-Sweden, 1554-57",,2,,4800,1554,,,1557,,,4,2,155,,,3
,"Muscovy-Crimea, 1554-59",,2,,3120,1554,,,1559,,,4,2,155,,,5
,"Muscovy-Astrakhan, 1554-56",,2,,1200,1554,,,1556,,,4,2,155,,,2
Wyatt's Rebellion,"England, 1554",,2,,1000,1554,2,7,1554,2,9,3,2,155,2,0,0
Franco-Spanish War,"Pope (till 1557), France-Emperor, Savoy, 1556-59",,4,,11000,1556,7,,1559,4,3,3,2,155,,33,3
,"Poland-Knights of Livonia, 1556-57",,2,,600,1556,,,1557,,,4,2,155,,,1
,"China (Guangdong), 1556",710,2,,550,1556,4,,1556,5,,12,2,155,,1,0
Anglo-French War,"France-England, 1556-59",,2,11000,11000,1557,6,7,1559,4,2,3,2,155,655,22,2
Livonian War,"Muscovy-Teutonic Order, Knights of Livonia, 1557-58",,3,,13200,1557,,,1558,,,4,2,155,,,1
,"Turkey (succession), 1559",,,,1000,1559,,,1559,,,4,2,155,,,0
Spanish-Turkish War,"Spain, Venice-Turkey, Tripoli, 1559-65",,4,,24000,1559,12,1,1565,9,12,4,2,155,2081,69,6
Scottish War,"Scotland-France (with intervention by England), 1559-60",,3,,6000,1559,5,,1560,2,,3,2,155,,9,1
,"Ireland (succession to the earldom of Tyrone), 1559-67",,,,3500,1559,,,1567,6,,3,2,155,,,8
,"China (Guangdong), 1560",710,2,,1200,1560,,,1560,,,12,2,156,,,0
,"China (Fujian, Jiangxi), 1560-61",710,2,,500,1560,12,,1561,10,,12,2,156,,10,1
Livonian War with Russia,"Russia-(Poland-Lithuania), 1561-71",,2,,46800,1561,,,1571,,,4,2,156,,,10
,"China (Guangdong), 1561-63",710,2,,100,1561,3,,1563,12,,12,2,156,,33,2
,"China (Sichuan, Guizhou), 1561-62",710,2,,100,1561,5,,1562,3,,12,2,156,,10,1
,"China-Japanese pirates, rebels (Zhejiang, Fujian Guangdong), 1561-68",,3,,19600,1561,,,1568,8,,12,2,156,,,7
First Huguenot War,"France (Huguenots, with intervention by England), 1562-63",,3,6000,14000,1562,3,1,1563,3,19,3,2,156,378,12,1
,"China (Guangdong, Jiangxi), 1562",710,2,,1200,1562,5,,1562,5,,12,2,156,,0,0
,"India (Muslims vs south Indians (Vija Yahagar), 1565",,2,,1000,1565,,,1565,,,10,2,156,,,0
Austro-Turkish War,"Turkey-Emperor (Austria), 1566",,2,24000,24000,1566,1,,1566,9,8,4,2,156,,8,0
Dutch War of Independence (Eighty Years War),"Netherlands-Spain, 1566-1609",,2,,129300,1566,8,10,1609,4,9,3,2,156,15359,512,43
First Phase of Eighty Years War,"Netherlands-Spain, 1566-68",,2,,2000,1566,4,5,1568,11,,3,2,156,,31,2
Second Huguenot War,"France (Huguenots), 1567-68",,2,3000,8000,1567,9,29,1568,3,23,3,2,156,174,6,1
Moriscos' Revolt,"Spain (Moriscos in Granada), 1568-71",,2,,1500,1568,11,,1571,,,3,2,156,,,3
Third Huguenot War,"France (Huguenots), 1568-70",,2,,1800,1568,8,18,1570,8,8,3,2,156,710,24,2
,"China (Hebei, Liaoning, Shanxi), 1568-72",710,2,,640,1568,11,,1572,3,,12,2,156,,40,4
Northern Rebellion,"England (Catholic lords of the north), 1569-70",,2,,400,1569,11,9,1570,2,20,3,2,156,101,3,1
